timestamp,nginx-ingress_nginx-ingress_energy
2026-06-14 09:03:59.448999882,728.9207999999988
2026-06-14 09:04:14.448999882,728.920799999999
2026-06-14 09:04:29.448999882,733.2551999999996
2026-06-14 09:04:44.448999882,733.2551999999998
2026-06-14 09:04:59.448999882,730.2635999999998
2026-06-14 09:05:14.448999882,730.2635999999999
2026-06-14 09:05:29.448999882,735.0839999999995
2026-06-14 09:05:44.448999882,735.0839999999996
2026-06-14 09:05:59.448999882,734.2020000000007
2026-06-14 09:06:14.448999882,734.2020000000009
2026-06-14 09:06:29.448999882,738.7992000000002
2026-06-14 09:06:44.448999882,738.7992000000003
2026-06-14 09:06:59.448999882,736.0631999999991
2026-06-14 09:07:14.448999882,736.0631999999993
2026-06-14 09:07:29.448999882,732.4307999999992
2026-06-14 09:07:44.448999882,732.4307999999993
2026-06-14 09:07:59.448999882,724.636800000002
2026-06-14 09:08:14.448999882,724.6368000000022
